,agent,model,train_block,train_nll_hybrid,val_nll_hybrid,test_nll_hybrid,train_nll_habit,val_nll_habit,test_nll_habit,train_nll_kdh,val_nll_kdh,test_nll_kdh,train_nll_lr,val_nll_lr,test_nll_lr
76,76,hybrid,0,270.1489971172706,306.17833692827014,303.7290033345282,346.57349027998276,346.57349027998276,346.57349027998276,346.50948754903646,346.6054732272088,347.9495830388445,258.73702392848224,338.7675064918096,326.48510004755383
77,77,hybrid,0,291.192564454861,305.0596574297309,311.1341093417079,313.74643941700606,328.84685919956405,331.5653640534605,337.6805436722083,365.1120045552596,350.75131011234305,292.71274947999495,351.72156468855223,348.56277738623
78,78,hybrid,0,320.16887154917714,318.33273572551104,292.44533592516837,341.34459695540215,340.75803203279577,335.16564513464533,341.3268007502622,354.54140245980716,362.1347698396684,304.11690032349395,345.40734407368655,345.08100234613534
79,79,hybrid,0,112.42473096566184,108.90434460984555,117.66192332685124,193.45354946909345,174.39839998267036,183.1543850613017,335.41048506247205,313.0782328996746,338.17175167977064,106.26588569864677,125.04175618495091,145.11204775717516
80,80,hybrid,0,175.2675207733246,168.3276821738915,203.645335448131,234.33836601076894,243.0206978638406,267.7888801413248,281.16213893183493,471.17359113713337,399.9646539721657,163.56379417472317,214.10008367824767,240.98942874668595
81,81,hybrid,0,291.5389433689464,284.13172013723454,304.36768461073643,325.9056336969053,325.1626879580813,333.9859769666316,342.740593631392,340.5759677783465,353.5267816343526,291.83568885308347,310.89658284677637,322.2850269904388
82,82,hybrid,0,207.28963594195946,202.33050610304278,214.59918628724296,319.87992920771933,324.58685937181605,324.33092085021246,346.253378220464,345.4529021474789,348.71887713817557,227.40799272154948,257.92970023241276,268.86236328463247
83,83,hybrid,0,262.2926113783659,312.3621718231117,295.7364445426225,293.4639100794599,323.3618429564805,301.2300024989921,333.7380045536797,342.3997554926418,370.3562875502503,262.3165264713356,339.8150816184337,345.74139902709544
84,84,hybrid,0,236.94679881045323,251.2354259509863,260.317724580226,292.6563092662525,321.398791046366,324.40576488901274,328.09787841350203,339.97773511592254,357.88738427337194,234.18627109671547,308.14808013716606,315.4863886722956
85,85,hybrid,0,310.38581490292074,288.0549465891492,322.80812638241963,327.3058991650528,309.0726203192785,341.04600948804523,346.05326328297934,353.37140119823755,347.9107425358666,306.69963382745095,336.28557522708263,360.6309948187413
